instance,family,n,m,solver,seed,time_limit,size,seconds,verified,note
del16,geometric,65536,196583,cascade,1,60.0,20647,60.061,1,maximal=yes
del16,geometric,65536,196583,cascade,2,60.0,20645,60.058,1,maximal=yes
del16,geometric,65536,196583,cascade,3,60.0,20642,60.062,1,maximal=yes
del16,geometric,65536,196583,cascade,4,60.0,20645,60.056,1,maximal=yes
del16,geometric,65536,196583,cascade,5,60.0,20642,60.058,1,maximal=yes
del16,geometric,65536,196583,redumis,1,60.0,20640,60.174,1,maximal=yes
del16,geometric,65536,196583,redumis,2,60.0,20639,60.205,1,maximal=yes
del16,geometric,65536,196583,redumis,3,60.0,20640,60.143,1,maximal=yes
del16,geometric,65536,196583,redumis,4,60.0,20641,60.140,1,maximal=yes
del16,geometric,65536,196583,redumis,5,60.0,20637,60.177,1,maximal=yes
del16,geometric,65536,196583,online_mis,1,60.0,20630,60.099,1,maximal=yes
del16,geometric,65536,196583,online_mis,2,60.0,20634,60.099,1,maximal=yes
del16,geometric,65536,196583,online_mis,3,60.0,20632,60.098,1,maximal=yes
del16,geometric,65536,196583,online_mis,4,60.0,20631,60.101,1,maximal=yes
del16,geometric,65536,196583,online_mis,5,60.0,20631,60.099,1,maximal=yes
del16,geometric,65536,196583,numvc,1,60.0,20177,60.515,1,maximal=yes
del16,geometric,65536,196583,numvc,2,60.0,20166,61.538,1,maximal=yes
del16,geometric,65536,196583,numvc,3,60.0,20192,61.516,1,maximal=yes
del16,geometric,65536,196583,numvc,4,60.0,20177,60.626,1,maximal=yes
del16,geometric,65536,196583,numvc,5,60.0,20179,60.490,1,maximal=yes
del16,geometric,65536,196583,fastvc,1,60.0,20633,60.036,1,maximal=yes
del16,geometric,65536,196583,fastvc,2,60.0,20635,60.033,1,maximal=yes
del16,geometric,65536,196583,fastvc,3,60.0,20638,60.038,1,maximal=yes
del16,geometric,65536,196583,fastvc,4,60.0,20642,60.038,1,maximal=yes
del16,geometric,65536,196583,fastvc,5,60.0,20637,60.038,1,maximal=yes
del18,geometric,262144,786401,cascade,1,60.0,82656,60.259,1,maximal=yes
del18,geometric,262144,786401,cascade,2,60.0,82653,60.239,1,maximal=yes
del18,geometric,262144,786401,cascade,3,60.0,82649,60.237,1,maximal=yes
del18,geometric,262144,786401,cascade,4,60.0,82655,60.293,1,maximal=yes
del18,geometric,262144,786401,cascade,5,60.0,82648,60.240,1,maximal=yes
del18,geometric,262144,786401,redumis,1,60.0,82386,60.492,1,maximal=yes
del18,geometric,262144,786401,redumis,2,60.0,82352,60.440,1,maximal=yes
del18,geometric,262144,786401,redumis,3,60.0,82369,60.403,1,maximal=yes
del18,geometric,262144,786401,redumis,4,60.0,82393,60.494,1,maximal=yes
del18,geometric,262144,786401,redumis,5,60.0,82345,60.422,1,maximal=yes
del18,geometric,262144,786401,online_mis,1,60.0,82020,60.412,1,maximal=yes
del18,geometric,262144,786401,online_mis,2,60.0,82028,60.398,1,maximal=yes
del18,geometric,262144,786401,online_mis,3,60.0,82042,60.402,1,maximal=yes
del18,geometric,262144,786401,online_mis,4,60.0,82026,60.402,1,maximal=yes
del18,geometric,262144,786401,online_mis,5,60.0,82038,60.419,1,maximal=yes
del18,geometric,262144,786401,numvc,1,60.0,80693,122.466,1,maximal=yes
del18,geometric,262144,786401,numvc,2,60.0,80688,122.030,1,maximal=yes
del18,geometric,262144,786401,numvc,3,60.0,80679,121.768,1,maximal=yes
del18,geometric,262144,786401,numvc,4,60.0,80709,61.255,1,maximal=yes
del18,geometric,262144,786401,numvc,5,60.0,80727,121.056,1,maximal=yes
del18,geometric,262144,786401,fastvc,1,60.0,82589,60.154,1,maximal=yes
del18,geometric,262144,786401,fastvc,2,60.0,82582,60.139,1,maximal=yes
del18,geometric,262144,786401,fastvc,3,60.0,82574,60.149,1,maximal=yes
del18,geometric,262144,786401,fastvc,4,60.0,82585,60.143,1,maximal=yes
del18,geometric,262144,786401,fastvc,5,60.0,82575,60.148,1,maximal=yes
del20,geometric,1048576,3145692,cascade,1,60.0,330064,61.035,1,maximal=yes
del20,geometric,1048576,3145692,cascade,2,60.0,330122,61.057,1,maximal=yes
del20,geometric,1048576,3145692,cascade,3,60.0,330125,61.082,1,maximal=yes
del20,geometric,1048576,3145692,cascade,4,60.0,330103,61.054,1,maximal=yes
del20,geometric,1048576,3145692,cascade,5,60.0,330107,61.076,1,maximal=yes
del20,geometric,1048576,3145692,redumis,1,60.0,321566,255.538,1,maximal=yes
del20,geometric,1048576,3145692,redumis,2,60.0,321935,250.635,1,maximal=yes
del20,geometric,1048576,3145692,redumis,3,60.0,321834,256.399,1,maximal=yes
del20,geometric,1048576,3145692,redumis,4,60.0,321335,261.570,1,maximal=yes
