instance,solver,seconds,size
del18,cascade,1.6813,81639
del18,cascade,1.6882,81640
del18,cascade,1.6905,81641
del18,cascade,1.6913,81642
del18,cascade,1.6920,81646
del18,cascade,1.6927,81647
del18,cascade,1.6935,81649
del18,cascade,1.6942,81650
del18,cascade,1.6960,81651
del18,cascade,1.6967,81652
del18,cascade,1.6989,81654
del18,cascade,1.7018,81655
del18,cascade,1.7032,81657
del18,cascade,1.7038,81658
del18,cascade,1.7053,81659
del18,cascade,1.7077,81660
del18,cascade,1.7084,81662
del18,cascade,1.7091,81664
del18,cascade,1.7099,81665
del18,cascade,1.7122,81667
del18,cascade,1.7130,81669
del18,cascade,1.7143,81670
del18,cascade,1.7193,81672
del18,cascade,1.7200,81673
del18,cascade,1.7234,81674
del18,cascade,1.7256,81676
del18,cascade,1.7263,81678
del18,cascade,1.7270,81680
del18,cascade,1.7284,81681
del18,cascade,1.7292,81682
del18,cascade,1.7316,81684
del18,cascade,1.7323,81685
del18,cascade,1.7352,81687
del18,cascade,1.7382,81689
del18,cascade,1.7390,81690
del18,cascade,1.7397,81691
del18,cascade,1.7425,81692
del18,cascade,1.7432,81694
del18,cascade,1.7440,81695
del18,cascade,1.7499,81698
del18,cascade,1.7512,81699
del18,cascade,1.7527,81700
del18,cascade,1.7542,81701
del18,cascade,1.7549,81702
del18,cascade,1.7557,81703
del18,cascade,1.7598,81705
del18,cascade,1.7612,81706
del18,cascade,1.7618,81707
del18,cascade,1.7634,81708
del18,cascade,1.7647,81710
del18,cascade,1.7654,81711
del18,cascade,1.7706,81712
del18,cascade,1.7713,81713
del18,cascade,1.7728,81714
del18,cascade,1.7743,81715
del18,cascade,1.7760,81716
del18,cascade,1.7776,81718
del18,cascade,1.7783,81719
del18,cascade,1.7819,81720
del18,cascade,1.7834,81721
del18,cascade,1.7848,81722
del18,cascade,1.7871,81724
del18,cascade,1.7879,81725
del18,cascade,1.7885,81726
del18,cascade,1.7907,81727
del18,cascade,1.7914,81728
del18,cascade,1.7928,81729
del18,cascade,1.7982,81731
del18,cascade,1.8022,81732
del18,cascade,1.8041,81733
del18,cascade,1.8085,81734
del18,cascade,1.8104,81735
del18,cascade,1.8121,81737
del18,cascade,1.8160,81739
del18,cascade,1.8201,81740
del18,cascade,1.8218,81741
del18,cascade,1.8234,81744
del18,cascade,1.8254,81746
del18,cascade,1.8272,81747
del18,cascade,1.8290,81750
del18,cascade,1.8309,81753
del18,cascade,1.8325,81754
del18,cascade,1.8344,81756
del18,cascade,1.8360,81757
del18,cascade,1.8380,81758
del18,cascade,1.8397,81759
del18,cascade,1.8431,81761
del18,cascade,1.8449,81762
del18,cascade,1.8468,81765
del18,cascade,1.8504,81769
del18,cascade,1.8557,81770
del18,cascade,1.8574,81771
del18,cascade,1.8630,81772
del18,cascade,1.8648,81773
del18,cascade,1.8665,81774
del18,cascade,1.8700,81776
del18,cascade,1.8722,81777
del18,cascade,1.8740,81779
del18,cascade,1.8778,81782
del18,cascade,1.8795,81783
del18,cascade,1.8864,81784
del18,cascade,1.8903,81787
del18,cascade,1.8924,81789
del18,cascade,1.8958,81790
del18,cascade,1.8997,81791
del18,cascade,1.9014,81792
del18,cascade,1.9068,81794
del18,cascade,1.9088,81798
del18,cascade,1.9106,81800
del18,cascade,1.9138,81801
del18,cascade,1.9176,81803
del18,cascade,1.9228,81804
del18,cascade,1.9244,81805
del18,cascade,1.9263,81806
del18,cascade,1.9280,81808
del18,cascade,1.9297,81809
del18,cascade,1.9330,81810
del18,cascade,1.9347,81813
del18,cascade,1.9365,81815
del18,cascade,1.9383,81816
del18,cascade,1.9410,81818
del18,cascade,1.9428,81819
del18,cascade,1.9445,81820
del18,cascade,1.9464,81821
del18,cascade,1.9481,81822
del18,cascade,1.9498,81823
del18,cascade,1.9518,81825
del18,cascade,1.9552,81827
del18,cascade,1.9568,81828
del18,cascade,1.9587,81831
del18,cascade,1.9622,81834
del18,cascade,1.9656,81835
del18,cascade,1.9710,81836
del18,cascade,1.9730,81837
del18,cascade,1.9784,81838
del18,cascade,1.9820,81840
del18,cascade,1.9856,81842
del18,cascade,1.9893,81843
del18,cascade,1.9928,81844
del18,cascade,2.0001,81845
del18,cascade,2.0018,81846
del18,cascade,2.0052,81848
del18,cascade,2.0086,81849
del18,cascade,2.0121,81852
del18,cascade,2.0154,81855
del18,cascade,2.0225,81857
del18,cascade,2.0302,81858
del18,cascade,2.0320,81859
del18,cascade,2.0408,81860
del18,cascade,2.0425,81862
del18,cascade,2.0441,81863
del18,cascade,2.0460,81864
del18,cascade,2.0494,81866
del18,cascade,2.0511,81868
del18,cascade,2.0625,81869
del18,cascade,2.0644,81871
del18,cascade,2.0663,81873
del18,cascade,2.0736,81874
del18,cascade,2.0755,81875
del18,cascade,2.0774,81876
del18,cascade,2.0814,81877
del18,cascade,2.0832,81878
del18,cascade,2.0850,81879
del18,cascade,2.0884,81880
del18,cascade,2.0902,81881
del18,cascade,2.0962,81882
del18,cascade,2.0980,81883
del18,cascade,2.1031,81885
del18,cascade,2.1050,81887
del18,cascade,2.1101,81888
del18,cascade,2.1120,81891
del18,cascade,2.1140,81892
del18,cascade,2.1156,81894
del18,cascade,2.1237,81895
del18,cascade,2.1272,81897
del18,cascade,2.1320,81899
del18,cascade,2.1335,81902
del18,cascade,2.1384,81904
del18,cascade,2.1424,81905
del18,cascade,2.1440,81907
del18,cascade,2.1476,81908
del18,cascade,2.1494,81909
del18,cascade,2.1656,81911
del18,cascade,2.1717,81912
del18,cascade,2.1733,81915
del18,cascade,2.1750,81917
del18,cascade,2.1765,81918
del18,cascade,2.1780,81919
del18,cascade,2.1873,81921
del18,cascade,2.1920,81922
del18,cascade,2.1950,81923
del18,cascade,2.2075,81926
del18,cascade,2.2130,81928
del18,cascade,2.2229,81931
del18,cascade,2.2275,81932
del18,cascade,2.2323,81935
del18,cascade,2.2371,81938
del18,cascade,2.2470,81939
del18,cascade,2.2518,81940
del18,cascade,2.2565,81941
del18,cascade,2.2629,81944
del18,cascade,2.2683,81946
del18,cascade,2.2730,81949
del18,cascade,2.2829,81952
del18,cascade,2.2878,81953
del18,cascade,2.2933,81958
del18,cascade,2.3037,81959
del18,cascade,2.3083,81962
del18,cascade,2.3146,81965
del18,cascade,2.3244,81968
del18,cascade,2.3294,81969
del18,cascade,2.3342,81973
del18,cascade,2.3403,81977
del18,cascade,2.3511,81978
del18,cascade,2.3560,81979
del18,cascade,2.3628,81985
del18,cascade,2.3688,81987
del18,cascade,2.3738,81990
del18,cascade,2.3789,81991
del18,cascade,2.3889,81992
del18,cascade,2.3936,81994
del18,cascade,2.3988,81996
del18,cascade,2.4096,81998
del18,cascade,2.4149,82000
del18,cascade,2.4206,82004
del18,cascade,2.4256,82005
del18,cascade,2.4310,82013
del18,cascade,2.4365,82014
del18,cascade,2.4415,82019
del18,cascade,2.4514,82022
del18,cascade,2.4624,82023
del18,cascade,2.4724,82025
del18,cascade,2.4776,82028
del18,cascade,2.4832,82029
del18,cascade,2.4882,82031
